	Gilbertella_persicariavar.persicaria_CBS_190.32-T.aa	Gilbertella_persicariavar.persicaria_CBS_246.59_Plus.aa
OG0005556	GBNWN_007124-T1	GBNWO_002766-T1
OG0005557	GBNWN_007125-T1	GBNWO_002765-T1
OG0005558	GBNWN_007128-T1	GBNWO_005845-T1
OG0005559	GBNWN_007129-T1	GBNWO_005844-T1
OG0005560	GBNWN_007130-T1	GBNWO_005843-T1
OG0005561	GBNWN_007131-T1	GBNWO_000409-T1
OG0005562	GBNWN_007134-T1	GBNWO_004928-T1
OG0005563	GBNWN_007139-T1	GBNWO_004933-T1
OG0005564	GBNWN_007142-T1	GBNWO_006116-T1
OG0005565	GBNWN_007146-T1	GBNWO_006114-T1
OG0005566	GBNWN_007147-T1	GBNWO_006113-T1
OG0005567	GBNWN_007149-T1	GBNWO_007209-T1
OG0005568	GBNWN_007150-T1	GBNWO_007208-T1
OG0005569	GBNWN_007151-T1	GBNWO_007207-T1
OG0005570	GBNWN_007152-T1	GBNWO_007206-T1
OG0005571	GBNWN_007156-T1	GBNWO_008754-T1
OG0005572	GBNWN_007158-T1	GBNWO_008757-T1
OG0005573	GBNWN_007160-T1	GBNWO_006939-T1
OG0005574	GBNWN_007161-T1	GBNWO_006940-T1
OG0005575	GBNWN_007162-T1	GBNWO_006941-T1
OG0005576	GBNWN_007163-T1	GBNWO_006942-T1
OG0005577	GBNWN_007164-T1	GBNWO_006943-T1
OG0005578	GBNWN_007166-T1	GBNWO_006945-T1
OG0005579	GBNWN_007167-T1	GBNWO_006946-T1
OG0005580	GBNWN_007168-T1	GBNWO_006947-T1
OG0005581	GBNWN_007170-T1	GBNWO_006949-T1
OG0005582	GBNWN_007173-T1	GBNWO_006952-T1
OG0005583	GBNWN_007174-T1	GBNWO_006953-T1
OG0005584	GBNWN_007175-T1	GBNWO_006954-T1
OG0005585	GBNWN_007176-T1	GBNWO_006955-T1
OG0005586	GBNWN_007177-T1	GBNWO_006956-T1
OG0005587	GBNWN_007178-T1	GBNWO_006957-T1
OG0005588	GBNWN_007181-T1	GBNWO_006960-T1
OG0005589	GBNWN_007183-T1	GBNWO_006962-T1
OG0005590	GBNWN_007184-T1	GBNWO_006963-T1
OG0005591	GBNWN_007187-T1	GBNWO_006965-T1
OG0005592	GBNWN_007189-T1	GBNWO_007411-T1
OG0005593	GBNWN_007190-T1	GBNWO_006966-T1
OG0005594	GBNWN_007193-T1	GBNWO_007494-T1
OG0005595	GBNWN_007194-T1	GBNWO_007495-T1
OG0005596	GBNWN_007195-T1	GBNWO_007496-T1
OG0005597	GBNWN_007196-T1	GBNWO_007497-T1
OG0005598	GBNWN_007197-T1	GBNWO_000194-T1
OG0005599	GBNWN_007200-T1	GBNWO_001604-T1
OG0005600	GBNWN_007201-T1	GBNWO_001603-T1
OG0005601	GBNWN_007203-T1	GBNWO_003976-T1
OG0005602	GBNWN_007204-T1	GBNWO_003977-T1
OG0005603	GBNWN_007207-T1	GBNWO_008132-T1
OG0005604	GBNWN_007208-T1	GBNWO_008133-T1
OG0005605	GBNWN_007209-T1	GBNWO_008134-T1
OG0005606	GBNWN_007211-T1	GBNWO_001890-T1
OG0005607	GBNWN_007213-T1	GBNWO_002961-T1
OG0005608	GBNWN_007214-T1	GBNWO_002962-T1
OG0005609	GBNWN_007215-T1	GBNWO_003937-T1
OG0005610	GBNWN_007216-T1	GBNWO_003938-T1
OG0005611	GBNWN_007217-T1	GBNWO_009456-T1
OG0005612	GBNWN_007218-T1	GBNWO_009457-T1
OG0005613	GBNWN_007219-T1	GBNWO_009459-T1
OG0005614	GBNWN_007220-T1	GBNWO_009460-T1
OG0005615	GBNWN_007221-T1	GBNWO_002756-T1
OG0005616	GBNWN_007226-T1	GBNWO_008342-T1
OG0005617	GBNWN_007228-T1	GBNWO_002563-T1
OG0005618	GBNWN_007230-T1	GBNWO_002439-T1
OG0005619	GBNWN_007231-T1	GBNWO_002438-T1
OG0005620	GBNWN_007233-T1	GBNWO_000676-T1
OG0005621	GBNWN_007240-T1	GBNWO_009303-T1
OG0005622	GBNWN_007241-T1	GBNWO_005768-T1
OG0005623	GBNWN_007242-T1	GBNWO_005767-T1
OG0005624	GBNWN_007243-T1	GBNWO_005766-T1
OG0005625	GBNWN_007245-T1	GBNWO_005764-T1
OG0005626	GBNWN_007246-T1	GBNWO_003090-T1
OG0005627	GBNWN_007247-T1	GBNWO_007756-T1
OG0005628	GBNWN_007248-T1	GBNWO_007755-T1
OG0005629	GBNWN_007251-T1	GBNWO_007752-T1
OG0005630	GBNWN_007253-T1	GBNWO_000087-T1
OG0005631	GBNWN_007255-T1	GBNWO_000085-T1
OG0005632	GBNWN_007260-T1	GBNWO_002020-T1
OG0005633	GBNWN_007262-T1	GBNWO_002018-T1
OG0005634	GBNWN_007266-T1	GBNWO_004861-T1
OG0005635	GBNWN_007267-T1	GBNWO_006745-T1
OG0005636	GBNWN_007268-T1	GBNWO_006744-T1
OG0005637	GBNWN_007269-T1	GBNWO_006743-T1
OG0005638	GBNWN_007270-T1	GBNWO_006742-T1
OG0005639	GBNWN_007272-T1	GBNWO_006740-T1
OG0005640	GBNWN_007273-T1	GBNWO_007362-T1
OG0005641	GBNWN_007274-T1	GBNWO_007361-T1
OG0005642	GBNWN_007275-T1	GBNWO_007360-T1
OG0005643	GBNWN_007276-T1	GBNWO_007359-T1
OG0005644	GBNWN_007277-T1	GBNWO_007358-T1
OG0005645	GBNWN_007278-T1	GBNWO_007357-T1
OG0005646	GBNWN_007279-T1	GBNWO_007703-T1
OG0005647	GBNWN_007280-T1	GBNWO_007704-T1
OG0005648	GBNWN_007281-T1	GBNWO_007705-T1
OG0005649	GBNWN_007282-T1	GBNWO_007706-T1
OG0005650	GBNWN_007283-T1	GBNWO_007708-T1
OG0005651	GBNWN_007284-T1	GBNWO_007709-T1
OG0005652	GBNWN_007285-T1	GBNWO_004252-T1
OG0005653	GBNWN_007286-T1	GBNWO_004253-T1
OG0005654	GBNWN_007288-T1	GBNWO_004255-T1
OG0005655	GBNWN_007291-T1	GBNWO_004258-T1
OG0005656	GBNWN_007293-T1	GBNWO_002735-T1
OG0005657	GBNWN_007294-T1	GBNWO_004206-T1
OG0005658	GBNWN_007295-T1	GBNWO_004944-T1
OG0005659	GBNWN_007296-T1	GBNWO_004945-T1
OG0005660	GBNWN_007297-T1	GBNWO_004946-T1
OG0005661	GBNWN_007298-T1	GBNWO_004947-T1
OG0005662	GBNWN_007299-T1	GBNWO_004948-T1
OG0005663	GBNWN_007300-T1	GBNWO_004949-T1
OG0005664	GBNWN_007301-T1	GBNWO_002350-T1
OG0005665	GBNWN_007302-T1	GBNWO_002351-T1
OG0005666	GBNWN_007303-T1	GBNWO_002352-T1
OG0005667	GBNWN_007304-T1	GBNWO_004355-T1
OG0005668	GBNWN_007305-T1	GBNWO_007982-T1
OG0005669	GBNWN_007308-T1	GBNWO_007984-T1
OG0005670	GBNWN_007312-T1	GBNWO_003005-T1
OG0005671	GBNWN_007313-T1	GBNWO_008192-T1
OG0005672	GBNWN_007316-T1	GBNWO_008195-T1
OG0005673	GBNWN_007320-T1	GBNWO_005193-T1
OG0005674	GBNWN_007322-T1	GBNWO_007244-T1
OG0005675	GBNWN_007323-T1	GBNWO_007245-T1
OG0005676	GBNWN_007327-T1	GBNWO_007642-T1
OG0005677	GBNWN_007328-T1	GBNWO_007643-T1
OG0005678	GBNWN_007329-T1	GBNWO_007644-T1
OG0005679	GBNWN_007330-T1	GBNWO_007645-T1
OG0005680	GBNWN_007333-T1	GBNWO_005899-T1
OG0005681	GBNWN_007334-T1	GBNWO_005900-T1
OG0005682	GBNWN_007336-T1	GBNWO_005902-T1
OG0005683	GBNWN_007337-T1	GBNWO_005903-T1
OG0005684	GBNWN_007338-T1	GBNWO_002434-T1
OG0005685	GBNWN_007340-T1	GBNWO_002273-T1
OG0005686	GBNWN_007341-T1	GBNWO_000274-T1
OG0005687	GBNWN_007342-T1	GBNWO_000275-T1
OG0005688	GBNWN_007343-T1	GBNWO_000276-T1
OG0005689	GBNWN_007344-T1	GBNWO_000277-T1
OG0005690	GBNWN_007346-T1	GBNWO_007210-T1
OG0005691	GBNWN_007347-T1	GBNWO_007211-T1
OG0005692	GBNWN_007349-T1	GBNWO_007213-T1
OG0005693	GBNWN_007350-T1	GBNWO_007214-T1
OG0005694	GBNWN_007351-T1	GBNWO_005035-T1
OG0005695	GBNWN_007352-T1	GBNWO_000120-T1
OG0005696	GBNWN_007353-T1	GBNWO_000119-T1
OG0005697	GBNWN_007354-T1	GBNWO_004094-T1
OG0005698	GBNWN_007356-T1	GBNWO_001803-T1
OG0005699	GBNWN_007357-T1	GBNWO_001804-T1
OG0005700	GBNWN_007358-T1	GBNWO_001805-T1
OG0005701	GBNWN_007361-T1	GBNWO_000591-T1
OG0005702	GBNWN_007363-T1	GBNWO_008972-T1
OG0005703	GBNWN_007365-T1	GBNWO_000595-T1
OG0005704	GBNWN_007370-T1	GBNWO_004477-T1
OG0005705	GBNWN_007371-T1	GBNWO_005325-T1
OG0005706	GBNWN_007372-T1	GBNWO_003752-T1
OG0005707	GBNWN_007373-T1	GBNWO_003751-T1
OG0005708	GBNWN_007375-T1	GBNWO_000738-T1
OG0005709	GBNWN_007376-T1	GBNWO_000737-T1
OG0005710	GBNWN_007378-T1	GBNWO_004812-T1
OG0005711	GBNWN_007379-T1	GBNWO_006525-T1
OG0005712	GBNWN_007380-T1	GBNWO_006526-T1
OG0005713	GBNWN_007381-T1	GBNWO_006527-T1
OG0005714	GBNWN_007382-T1	GBNWO_006529-T1
OG0005715	GBNWN_007384-T1	GBNWO_006531-T1
OG0005716	GBNWN_007386-T1	GBNWO_003733-T1
OG0005717	GBNWN_007387-T1	GBNWO_008125-T1
OG0005718	GBNWN_007388-T1	GBNWO_003245-T1
OG0005719	GBNWN_007389-T1	GBNWO_003096-T1
OG0005720	GBNWN_007390-T1	GBNWO_003095-T1
OG0005721	GBNWN_007391-T1	GBNWO_003094-T1
OG0005722	GBNWN_007393-T1	GBNWO_002152-T1
OG0005723	GBNWN_007394-T1	GBNWO_002153-T1
OG0005724	GBNWN_007395-T1	GBNWO_000513-T1
OG0005725	GBNWN_007397-T1	GBNWO_000514-T1
OG0005726	GBNWN_007398-T1	GBNWO_000515-T1
OG0005727	GBNWN_007400-T1	GBNWO_006463-T1
OG0005728	GBNWN_007401-T1	GBNWO_006464-T1
OG0005729	GBNWN_007402-T1	GBNWO_006465-T1
OG0005730	GBNWN_007404-T1	GBNWO_006331-T1
OG0005731	GBNWN_007406-T1	GBNWO_008016-T1
OG0005732	GBNWN_007407-T1	GBNWO_008015-T1
OG0005733	GBNWN_007408-T1	GBNWO_008014-T1
OG0005734	GBNWN_007409-T1	GBNWO_008013-T1
OG0005735	GBNWN_007410-T1	GBNWO_004213-T1
OG0005736	GBNWN_007412-T1	GBNWO_003304-T1
OG0005737	GBNWN_007414-T1	GBNWO_002965-T1
OG0005738	GBNWN_007415-T1	GBNWO_006617-T1
OG0005739	GBNWN_007416-T1	GBNWO_006616-T1
OG0005740	GBNWN_007420-T1	GBNWO_006832-T1
OG0005741	GBNWN_007421-T1	GBNWO_006833-T1
OG0005742	GBNWN_007423-T1	GBNWO_006835-T1
OG0005743	GBNWN_007424-T1	GBNWO_006836-T1
OG0005744	GBNWN_007425-T1	GBNWO_006837-T1
OG0005745	GBNWN_007426-T1	GBNWO_003876-T1
OG0005746	GBNWN_007427-T1	GBNWO_004486-T1
OG0005747	GBNWN_007428-T1	GBNWO_004487-T1
OG0005748	GBNWN_007430-T1	GBNWO_006319-T1
OG0005749	GBNWN_007432-T1	GBNWO_006321-T1
OG0005750	GBNWN_007435-T1	GBNWO_006324-T1
OG0005751	GBNWN_007438-T1	GBNWO_008966-T1
OG0005752	GBNWN_007441-T1	GBNWO_008964-T1
OG0005753	GBNWN_007442-T1	GBNWO_008963-T1
OG0005754	GBNWN_007444-T1	GBNWO_008961-T1
OG0005755	GBNWN_007446-T1	GBNWO_008960-T1
OG0005756	GBNWN_007447-T1	GBNWO_008959-T1
OG0005757	GBNWN_007448-T1	GBNWO_008958-T1
OG0005758	GBNWN_007449-T1	GBNWO_003692-T1
OG0005759	GBNWN_007451-T1	GBNWO_008364-T1
OG0005760	GBNWN_007452-T1	GBNWO_008363-T1
OG0005761	GBNWN_007456-T1	GBNWO_008358-T1
OG0005762	GBNWN_007458-T1	GBNWO_008355-T1
OG0005763	GBNWN_007459-T1	GBNWO_008354-T1
OG0005764	GBNWN_007460-T1	GBNWO_008353-T1
OG0005765	GBNWN_007461-T1	GBNWO_008352-T1
OG0005766	GBNWN_007464-T1	GBNWO_007084-T1
OG0005767	GBNWN_007466-T1	GBNWO_007085-T1
OG0005768	GBNWN_007468-T1	GBNWO_003443-T1
OG0005769	GBNWN_007470-T1	GBNWO_003611-T1
OG0005770	GBNWN_007471-T1	GBNWO_007908-T1
OG0005771	GBNWN_007472-T1	GBNWO_000550-T1
OG0005772	GBNWN_007473-T1	GBNWO_000551-T1
OG0005773	GBNWN_007474-T1	GBNWO_000552-T1
OG0005774	GBNWN_007476-T1	GBNWO_005242-T1
OG0005775	GBNWN_007477-T1	GBNWO_007844-T1
OG0005776	GBNWN_007478-T1	GBNWO_007845-T1
OG0005777	GBNWN_007479-T1	GBNWO_007846-T1
OG0005778	GBNWN_007481-T1	GBNWO_007848-T1
OG0005779	GBNWN_007482-T1	GBNWO_003227-T1
OG0005780	GBNWN_007484-T1	GBNWO_007121-T1
OG0005781	GBNWN_007485-T1	GBNWO_007120-T1
OG0005782	GBNWN_007487-T1	GBNWO_007118-T1
OG0005783	GBNWN_007488-T1	GBNWO_002107-T1
OG0005784	GBNWN_007489-T1	GBNWO_007262-T1
OG0005785	GBNWN_007491-T1	GBNWO_009473-T1
OG0005786	GBNWN_007493-T1	GBNWO_004528-T1
OG0005787	GBNWN_007494-T1	GBNWO_004527-T1
OG0005788	GBNWN_007495-T1	GBNWO_009069-T1
OG0005789	GBNWN_007500-T1	GBNWO_007758-T1
OG0005790	GBNWN_007501-T1	GBNWO_007759-T1
OG0005791	GBNWN_007502-T1	GBNWO_007760-T1
OG0005792	GBNWN_007503-T1	GBNWO_007761-T1
OG0005793	GBNWN_007504-T1	GBNWO_007762-T1
OG0005794	GBNWN_007507-T1	GBNWO_000509-T1
OG0005795	GBNWN_007508-T1	GBNWO_006189-T1
OG0005796	GBNWN_007509-T1	GBNWO_006190-T1
OG0005797	GBNWN_007510-T1	GBNWO_006191-T1
OG0005798	GBNWN_007511-T1	GBNWO_006192-T1
OG0005799	GBNWN_007512-T1	GBNWO_006193-T1
OG0005800	GBNWN_007513-T1	GBNWO_006194-T1
OG0005801	GBNWN_007514-T1	GBNWO_006195-T1
OG0005802	GBNWN_007515-T1	GBNWO_002285-T1
OG0005803	GBNWN_007518-T1	GBNWO_004647-T1
OG0005804	GBNWN_007519-T1	GBNWO_004646-T1
OG0005805	GBNWN_007520-T1	GBNWO_009070-T1
OG0005806	GBNWN_007521-T1	GBNWO_009071-T1
OG0005807	GBNWN_007522-T1	GBNWO_009072-T1
OG0005808	GBNWN_007523-T1	GBNWO_009073-T1
OG0005809	GBNWN_007526-T1	GBNWO_005412-T1
OG0005810	GBNWN_007528-T1	GBNWO_005130-T1
OG0005811	GBNWN_007529-T1	GBNWO_005131-T1
OG0005812	GBNWN_007530-T1	GBNWO_005132-T1
OG0005813	GBNWN_007531-T1	GBNWO_005133-T1
OG0005814	GBNWN_007532-T1	GBNWO_005134-T1
OG0005815	GBNWN_007533-T1	GBNWO_005135-T1
OG0005816	GBNWN_007534-T1	GBNWO_005136-T1
OG0005817	GBNWN_007536-T1	GBNWO_001540-T1
OG0005818	GBNWN_007537-T1	GBNWO_001539-T1
OG0005819	GBNWN_007538-T1	GBNWO_005091-T1
OG0005820	GBNWN_007539-T1	GBNWO_003413-T1
OG0005821	GBNWN_007541-T1	GBNWO_002657-T1
OG0005822	GBNWN_007543-T1	GBNWO_001496-T1
OG0005823	GBNWN_007545-T1	GBNWO_007255-T1
OG0005824	GBNWN_007547-T1	GBNWO_006379-T1
OG0005825	GBNWN_007548-T1	GBNWO_006377-T1
OG0005826	GBNWN_007549-T1	GBNWO_006376-T1
OG0005827	GBNWN_007550-T1	GBNWO_006375-T1
OG0005828	GBNWN_007551-T1	GBNWO_005922-T1
OG0005829	GBNWN_007552-T1	GBNWO_005923-T1
OG0005830	GBNWN_007553-T1	GBNWO_005924-T1
OG0005831	GBNWN_007557-T1	GBNWO_007376-T1
OG0005832	GBNWN_007558-T1	GBNWO_007377-T1
OG0005833	GBNWN_007559-T1	GBNWO_007378-T1
OG0005834	GBNWN_007560-T1	GBNWO_007379-T1
OG0005835	GBNWN_007561-T1	GBNWO_009501-T1
OG0005836	GBNWN_007563-T1	GBNWO_009498-T1
OG0005837	GBNWN_007564-T1	GBNWO_001854-T1
OG0005838	GBNWN_007565-T1	GBNWO_007570-T1
OG0005839	GBNWN_007566-T1	GBNWO_007569-T1
OG0005840	GBNWN_007567-T1	GBNWO_007568-T1
OG0005841	GBNWN_007568-T1	GBNWO_007567-T1
OG0005842	GBNWN_007569-T1	GBNWO_007566-T1
OG0005843	GBNWN_007570-T1	GBNWO_007565-T1
OG0005844	GBNWN_007571-T1	GBNWO_004510-T1
OG0005845	GBNWN_007572-T1	GBNWO_002064-T1
OG0005846	GBNWN_007573-T1	GBNWO_002063-T1
OG0005847	GBNWN_007575-T1	GBNWO_002061-T1
OG0005848	GBNWN_007576-T1	GBNWO_006582-T1
OG0005849	GBNWN_007579-T1	GBNWO_006585-T1
OG0005850	GBNWN_007580-T1	GBNWO_006586-T1
OG0005851	GBNWN_007584-T1	GBNWO_006514-T1
OG0005852	GBNWN_007587-T1	GBNWO_001798-T1
OG0005853	GBNWN_007591-T1	GBNWO_001800-T1
OG0005854	GBNWN_007592-T1	GBNWO_001801-T1
OG0005855	GBNWN_007594-T1	GBNWO_008943-T1
OG0005856	GBNWN_007595-T1	GBNWO_008942-T1
OG0005857	GBNWN_007596-T1	GBNWO_008941-T1
OG0005858	GBNWN_007597-T1	GBNWO_008940-T1
OG0005859	GBNWN_007598-T1	GBNWO_008939-T1
OG0005860	GBNWN_007599-T1	GBNWO_008938-T1
OG0005861	GBNWN_007601-T1	GBNWO_006489-T1
OG0005862	GBNWN_007602-T1	GBNWO_006490-T1
OG0005863	GBNWN_007603-T1	GBNWO_006491-T1
OG0005864	GBNWN_007604-T1	GBNWO_008379-T1
OG0005865	GBNWN_007605-T1	GBNWO_002568-T1
OG0005866	GBNWN_007606-T1	GBNWO_006803-T1
OG0005867	GBNWN_007608-T1	GBNWO_004354-T1
OG0005868	GBNWN_007610-T1	GBNWO_000188-T1
OG0005869	GBNWN_007611-T1	GBNWO_000189-T1
OG0005870	GBNWN_007613-T1	GBNWO_000190-T1
OG0005871	GBNWN_007614-T1	GBNWO_000191-T1
OG0005872	GBNWN_007615-T1	GBNWO_000192-T1
OG0005873	GBNWN_007617-T1	GBNWO_001562-T1
OG0005874	GBNWN_007618-T1	GBNWO_006911-T1
OG0005875	GBNWN_007619-T1	GBNWO_006912-T1
OG0005876	GBNWN_007620-T1	GBNWO_008414-T1
OG0005877	GBNWN_007621-T1	GBNWO_008415-T1
OG0005878	GBNWN_007623-T1	GBNWO_008417-T1
OG0005879	GBNWN_007624-T1	GBNWO_008418-T1
OG0005880	GBNWN_007626-T1	GBNWO_000702-T1
OG0005881	GBNWN_007628-T1	GBNWO_000705-T1
OG0005882	GBNWN_007629-T1	GBNWO_003004-T1
OG0005883	GBNWN_007630-T1	GBNWO_003003-T1
OG0005884	GBNWN_007638-T1	GBNWO_006384-T1
OG0005885	GBNWN_007639-T1	GBNWO_005618-T1
OG0005886	GBNWN_007640-T1	GBNWO_005153-T1
OG0005887	GBNWN_007641-T1	GBNWO_002079-T1
OG0005888	GBNWN_007642-T1	GBNWO_002078-T1
OG0005889	GBNWN_007644-T1	GBNWO_002238-T1
OG0005890	GBNWN_007647-T1	GBNWO_003757-T1
OG0005891	GBNWN_007648-T1	GBNWO_003758-T1
OG0005892	GBNWN_007651-T1	GBNWO_003760-T1
OG0005893	GBNWN_007653-T1	GBNWO_005349-T1
OG0005894	GBNWN_007655-T1	GBNWO_002700-T1
OG0005895	GBNWN_007656-T1	GBNWO_002701-T1
OG0005896	GBNWN_007657-T1	GBNWO_003045-T1
OG0005897	GBNWN_007658-T1	GBNWO_003044-T1
OG0005898	GBNWN_007659-T1	GBNWO_003043-T1
OG0005899	GBNWN_007661-T1	GBNWO_001331-T1
OG0005900	GBNWN_007662-T1	GBNWO_001332-T1
OG0005901	GBNWN_007663-T1	GBNWO_001333-T1
OG0005902	GBNWN_007665-T1	GBNWO_001335-T1
OG0005903	GBNWN_007667-T1	GBNWO_001337-T1
OG0005904	GBNWN_007668-T1	GBNWO_001338-T1
OG0005905	GBNWN_007669-T1	GBNWO_001339-T1
OG0005906	GBNWN_007671-T1	GBNWO_001341-T1
OG0005907	GBNWN_007675-T1	GBNWO_001852-T1
OG0005908	GBNWN_007676-T1	GBNWO_008319-T1
OG0005909	GBNWN_007677-T1	GBNWO_008320-T1
OG0005910	GBNWN_007682-T1	GBNWO_000452-T1
OG0005911	GBNWN_007684-T1	GBNWO_000451-T1
OG0005912	GBNWN_007685-T1	GBNWO_003306-T1
OG0005913	GBNWN_007686-T1	GBNWO_003307-T1
OG0005914	GBNWN_007687-T1	GBNWO_001130-T1
OG0005915	GBNWN_007688-T1	GBNWO_001631-T1
OG0005916	GBNWN_007689-T1	GBNWO_001632-T1
OG0005917	GBNWN_007690-T1	GBNWO_007812-T1
OG0005918	GBNWN_007693-T1	GBNWO_007814-T1
OG0005919	GBNWN_007694-T1	GBNWO_002615-T1
OG0005920	GBNWN_007695-T1	GBNWO_002616-T1
OG0005921	GBNWN_007696-T1	GBNWO_001416-T1
OG0005922	GBNWN_007697-T1	GBNWO_001415-T1
OG0005923	GBNWN_007698-T1	GBNWO_008986-T1
OG0005924	GBNWN_007699-T1	GBNWO_008985-T1
OG0005925	GBNWN_007701-T1	GBNWO_008983-T1
OG0005926	GBNWN_007702-T1	GBNWO_008271-T1
OG0005927	GBNWN_007703-T1	GBNWO_006199-T1
OG0005928	GBNWN_007704-T1	GBNWO_008272-T1
OG0005929	GBNWN_007705-T1	GBNWO_008273-T1
OG0005930	GBNWN_007706-T1	GBNWO_000536-T1
OG0005931	GBNWN_007707-T1	GBNWO_004039-T1
OG0005932	GBNWN_007709-T1	GBNWO_001423-T1
OG0005933	GBNWN_007710-T1	GBNWO_001422-T1
OG0005934	GBNWN_007711-T1	GBNWO_005650-T1
OG0005935	GBNWN_007713-T1	GBNWO_003989-T1
OG0005936	GBNWN_007714-T1	GBNWO_005115-T1
OG0005937	GBNWN_007715-T1	GBNWO_000745-T1
OG0005938	GBNWN_007716-T1	GBNWO_000744-T1
OG0005939	GBNWN_007717-T1	GBNWO_000743-T1
OG0005940	GBNWN_007720-T1	GBNWO_000944-T1
OG0005941	GBNWN_007721-T1	GBNWO_000945-T1
OG0005942	GBNWN_007724-T1	GBNWO_006456-T1
OG0005943	GBNWN_007727-T1	GBNWO_006453-T1
OG0005944	GBNWN_007728-T1	GBNWO_006452-T1
OG0005945	GBNWN_007731-T1	GBNWO_000057-T1
OG0005946	GBNWN_007733-T1	GBNWO_000055-T1
OG0005947	GBNWN_007734-T1	GBNWO_000054-T1
OG0005948	GBNWN_007737-T1	GBNWO_000051-T1
OG0005949	GBNWN_007738-T1	GBNWO_000050-T1
OG0005950	GBNWN_007740-T1	GBNWO_000048-T1
OG0005951	GBNWN_007741-T1	GBNWO_000047-T1
OG0005952	GBNWN_007742-T1	GBNWO_000046-T1
OG0005953	GBNWN_007744-T1	GBNWO_000043-T1
OG0005954	GBNWN_007745-T1	GBNWO_000042-T1
OG0005955	GBNWN_007748-T1	GBNWO_000039-T1
OG0005956	GBNWN_007749-T1	GBNWO_000038-T1
OG0005957	GBNWN_007751-T1	GBNWO_001395-T1
OG0005958	GBNWN_007753-T1	GBNWO_001397-T1
OG0005959	GBNWN_007756-T1	GBNWO_003017-T1
OG0005960	GBNWN_007757-T1	GBNWO_003018-T1
OG0005961	GBNWN_007758-T1	GBNWO_003465-T1
OG0005962	GBNWN_007759-T1	GBNWO_003464-T1
OG0005963	GBNWN_007760-T1	GBNWO_008397-T1
OG0005964	GBNWN_007761-T1	GBNWO_008398-T1
OG0005965	GBNWN_007763-T1	GBNWO_008400-T1
OG0005966	GBNWN_007765-T1	GBNWO_008439-T1
OG0005967	GBNWN_007766-T1	GBNWO_008438-T1
OG0005968	GBNWN_007767-T1	GBNWO_008437-T1
OG0005969	GBNWN_007769-T1	GBNWO_008435-T1
OG0005970	GBNWN_007770-T1	GBNWO_009286-T1
OG0005971	GBNWN_007771-T1	GBNWO_009064-T1
OG0005972	GBNWN_007772-T1	GBNWO_009065-T1
OG0005973	GBNWN_007773-T1	GBNWO_009066-T1
OG0005974	GBNWN_007774-T1	GBNWO_009067-T1
OG0005975	GBNWN_007775-T1	GBNWO_009068-T1
OG0005976	GBNWN_007777-T1	GBNWO_008792-T1
OG0005977	GBNWN_007778-T1	GBNWO_008791-T1
OG0005978	GBNWN_007779-T1	GBNWO_008790-T1
OG0005979	GBNWN_007782-T1	GBNWO_000520-T1
OG0005980	GBNWN_007783-T1	GBNWO_000521-T1
OG0005981	GBNWN_007787-T1	GBNWO_000286-T1
OG0005982	GBNWN_007788-T1	GBNWO_002512-T1
OG0005983	GBNWN_007789-T1	GBNWO_002513-T1
OG0005984	GBNWN_007790-T1	GBNWO_002515-T1
OG0005985	GBNWN_007791-T1	GBNWO_002709-T1
OG0005986	GBNWN_007792-T1	GBNWO_002708-T1
OG0005987	GBNWN_007794-T1	GBNWO_007216-T1
OG0005988	GBNWN_007796-T1	GBNWO_007218-T1
OG0005989	GBNWN_007797-T1	GBNWO_007219-T1
OG0005990	GBNWN_007798-T1	GBNWO_007220-T1
OG0005991	GBNWN_007799-T1	GBNWO_006219-T1
OG0005992	GBNWN_007800-T1	GBNWO_006221-T1
OG0005993	GBNWN_007801-T1	GBNWO_006222-T1
OG0005994	GBNWN_007802-T1	GBNWO_006223-T1
OG0005995	GBNWN_007805-T1	GBNWO_006225-T1
OG0005996	GBNWN_007810-T1	GBNWO_007157-T1
OG0005997	GBNWN_007811-T1	GBNWO_007158-T1
OG0005998	GBNWN_007814-T1	GBNWO_007159-T1
OG0005999	GBNWN_007816-T1	GBNWO_007160-T1
OG0006000	GBNWN_007819-T1	GBNWO_007161-T1
OG0006001	GBNWN_007820-T1	GBNWO_007162-T1
OG0006002	GBNWN_007822-T1	GBNWO_007164-T1
OG0006003	GBNWN_007823-T1	GBNWO_007165-T1
OG0006004	GBNWN_007828-T1	GBNWO_007169-T1
OG0006005	GBNWN_007829-T1	GBNWO_007170-T1
OG0006006	GBNWN_007830-T1	GBNWO_007171-T1
OG0006007	GBNWN_007831-T1	GBNWO_008026-T1
OG0006008	GBNWN_007832-T1	GBNWO_008027-T1
OG0006009	GBNWN_007834-T1	GBNWO_001919-T1
OG0006010	GBNWN_007835-T1	GBNWO_001918-T1
OG0006011	GBNWN_007837-T1	GBNWO_003706-T1
OG0006012	GBNWN_007838-T1	GBNWO_003707-T1
OG0006013	GBNWN_007840-T1	GBNWO_009394-T1
OG0006014	GBNWN_007843-T1	GBNWO_008686-T1
OG0006015	GBNWN_007844-T1	GBNWO_008685-T1
OG0006016	GBNWN_007845-T1	GBNWO_000516-T1
OG0006017	GBNWN_007847-T1	GBNWO_003987-T1
OG0006018	GBNWN_007848-T1	GBNWO_003988-T1
OG0006019	GBNWN_007851-T1	GBNWO_002069-T1
